epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1028.28,0.91356,0.83234,1.04865,0.76727,0.9375,0.93793,0.53589,1.36206,1.12556,1.32332,0.0014456,0.0014456,0.0014456
44,1052.72,0.87835,0.8123,1.0333,0.82407,0.91667,0.93925,0.50537,1.43839,1.12155,1.38702,0.0014324,0.0014324,0.0014324
45,1074.29,0.88278,0.79714,1.03213,0.82527,0.89583,0.91511,0.50044,1.35195,1.19403,1.343,0.0014192,0.0014192,0.0014192
46,1098.84,0.8763,0.77695,1.03587,0.82527,0.89583,0.91511,0.50044,1.35195,1.19403,1.343,0.001406,0.001406,0.001406
47,1123.64,0.89316,0.8328,1.06576,0.81114,0.91667,0.91424,0.497,1.32993,1.18632,1.31417,0.0013928,0.0013928,0.0013928
48,1145.26,0.86216,0.80705,1.03471,0.76059,0.86051,0.83075,0.43493,1.40146,1.27927,1.36291,0.0013796,0.0013796,0.0013796
49,1169.87,0.82839,0.75108,1.01885,0.77033,0.83333,0.79807,0.46299,1.37771,1.32632,1.36565,0.0013664,0.0013664,0.0013664
50,1194.9,0.85412,0.76703,1.05591,0.84609,0.9375,0.89769,0.52944,1.32241,1.17143,1.31061,0.0013532,0.0013532,0.0013532
51,1216.72,0.85657,0.74603,1.03188,0.8249,0.89583,0.89439,0.44102,1.60713,1.19944,1.51501,0.00134,0.00134,0.00134
52,1241.61,0.88123,0.77876,1.08368,0.77396,0.9375,0.87472,0.42366,1.66633,1.20079,1.5578,0.0013268,0.0013268,0.0013268
53,1265.97,0.84074,0.71438,1.04129,0.76026,0.85417,0.80364,0.37029,1.7109,1.40749,1.55683,0.0013136,0.0013136,0.0013136
54,1287.53,0.86043,0.70569,1.00947,0.76026,0.85417,0.80364,0.37029,1.7109,1.40749,1.55683,0.0013004,0.0013004,0.0013004
55,1311.98,0.9114,0.7237,1.02626,0.79775,0.82186,0.8718,0.41606,1.59224,1.42031,1.4576,0.0012872,0.0012872,0.0012872
56,1336.57,0.82899,0.70285,1.01685,0.84357,0.78649,0.8584,0.41295,1.57292,1.3922,1.4909,0.001274,0.001274,0.001274
57,1358.21,0.82377,0.71656,1.01416,0.78174,0.89543,0.86444,0.42347,1.51879,1.28673,1.4651,0.0012608,0.0012608,0.0012608
58,1383.07,0.78141,0.67489,1.0047,0.77859,0.95833,0.91003,0.46124,1.42485,1.17839,1.37676,0.0012476,0.0012476,0.0012476
59,1407.72,0.83407,0.72885,1.06134,0.82158,0.91667,0.93123,0.46485,1.43114,1.09461,1.3777,0.0012344,0.0012344,0.0012344
60,1429.35,0.78328,0.69667,1.0117,0.87994,0.91615,0.94951,0.45628,1.5346,1.1035,1.48255,0.0012212,0.0012212,0.0012212
61,1454.26,0.72807,0.64213,0.96541,0.86228,0.89583,0.92235,0.42666,1.70932,1.09232,1.61642,0.001208,0.001208,0.001208
62,1478.75,0.75759,0.67451,1.02058,0.86228,0.89583,0.92235,0.42666,1.70932,1.09232,1.61642,0.0011948,0.0011948,0.0011948
63,1500.23,0.83499,0.65998,1.05258,0.83697,0.875,0.90215,0.4531,1.67973,1.04275,1.59294,0.0011816,0.0011816,0.0011816
64,1524.67,0.77551,0.63623,0.98384,0.95384,0.91667,0.96487,0.50925,1.55788,0.93489,1.49554,0.0011684,0.0011684,0.0011684
65,1549.45,0.7983,0.64055,0.99032,0.93468,0.9375,0.94365,0.52172,1.50147,0.81884,1.49102,0.0011552,0.0011552,0.0011552
66,1571.32,0.77123,0.63856,1.00221,0.9357,0.9375,0.93956,0.49911,1.59061,0.81237,1.55119,0.001142,0.001142,0.001142
67,1595.91,0.74158,0.60825,0.98412,0.93263,0.9375,0.92659,0.46275,1.67778,0.91823,1.57367,0.0011288,0.0011288,0.0011288
68,1620.49,0.79829,0.62686,1.00129,0.89881,0.92535,0.94185,0.52273,1.4703,0.85847,1.45479,0.0011156,0.0011156,0.0011156
69,1642.02,0.68997,0.55422,0.94304,0.93551,0.9375,0.96511,0.5669,1.36453,0.80924,1.41575,0.0011024,0.0011024,0.0011024
70,1666.5,0.7539,0.63034,0.9978,0.93551,0.9375,0.96511,0.5669,1.36453,0.80924,1.41575,0.0010892,0.0010892,0.0010892
71,1690.92,0.71762,0.56485,0.97716,0.93722,0.93307,0.97199,0.56328,1.39501,0.80322,1.41825,0.001076,0.001076,0.001076
72,1712.6,0.74119,0.58979,0.9704,0.89965,0.93393,0.95995,0.49983,1.54504,0.8914,1.4941,0.0010628,0.0010628,0.0010628
73,1737.15,0.75252,0.58793,0.98401,0.86711,0.95169,0.95589,0.49213,1.52182,0.91482,1.47647,0.0010496,0.0010496,0.0010496
74,1761.89,0.71011,0.54468,0.93885,0.91993,0.95746,0.96696,0.53714,1.43024,0.8325,1.41071,0.0010364,0.0010364,0.0010364
75,1783.42,0.67519,0.57706,0.95749,0.93488,0.91667,0.96913,0.58305,1.29219,0.79863,1.2929,0.0010232,0.0010232,0.0010232
76,1808.12,0.77917,0.60183,1.00665,0.82586,0.8893,0.89667,0.51825,1.32763,1.00868,1.35729,0.00101,0.00101,0.00101
77,1833.04,0.73356,0.58167,0.97861,0.83324,0.875,0.87841,0.46767,1.43905,1.04555,1.46035,0.0009968,0.0009968,0.0009968
78,1854.97,0.70952,0.56409,0.95913,0.83324,0.875,0.87841,0.46767,1.43905,1.04555,1.46035,0.0009836,0.0009836,0.0009836
79,1879.74,0.70315,0.58475,0.9794,0.82129,0.95833,0.93246,0.52355,1.38677,0.91834,1.40799,0.0009704,0.0009704,0.0009704
80,1904.57,0.69076,0.54565,0.95082,0.91975,0.95517,0.97767,0.56867,1.35342,0.82787,1.35432,0.0009572,0.0009572,0.0009572
81,1926.14,0.60195,0.50369,0.90214,0.93722,0.93307,0.97334,0.55993,1.38324,0.80125,1.38004,0.000944,0.000944,0.000944
82,1950.73,0.65665,0.53879,0.93805,0.95909,0.97691,0.98138,0.56622,1.39645,0.77802,1.37482,0.0009308,0.0009308,0.0009308
83,1975.59,0.61782,0.49688,0.91287,0.95645,0.95833,0.98202,0.57261,1.39615,0.73332,1.39405,0.0009176,0.0009176,0.0009176
84,1997.05,0.67562,0.52043,0.95111,0.95639,0.95833,0.98641,0.58846,1.41964,0.72339,1.40276,0.0009044,0.0009044,0.0009044
85,2021.56,0.64619,0.50188,0.93718,0.93982,0.97618,0.98882,0.57981,1.38343,0.72576,1.37481,0.0008912,0.0008912,0.0008912
86,2047.16,0.63547,0.48993,0.93069,0.93982,0.97618,0.98882,0.57981,1.38343,0.72576,1.37481,0.000878,0.000878,0.000878
87,2068.84,0.68469,0.53386,0.95036,0.88757,1,0.98402,0.56566,1.40137,0.76707,1.35642,0.0008648,0.0008648,0.0008648
88,2093.48,0.67223,0.50223,0.94363,0.93752,0.95833,0.98695,0.578,1.3844,0.73989,1.33868,0.0008516,0.0008516,0.0008516
89,2118.26,0.7083,0.56477,0.97763,0.93857,0.955,0.97316,0.55968,1.40158,0.75726,1.35369,0.0008384,0.0008384,0.0008384
90,2139.79,0.68057,0.51083,0.95339,0.93718,0.89583,0.96091,0.53637,1.4305,0.79548,1.36123,0.0008252,0.0008252,0.0008252
91,2164.22,0.70907,0.53656,0.94592,0.91203,0.91667,0.93357,0.46516,1.5539,0.95698,1.46076,0.000812,0.000812,0.000812
92,2188.75,0.66847,0.5115,0.94503,0.88141,0.89583,0.9112,0.4423,1.51819,0.91739,1.47667,0.0007988,0.0007988,0.0007988
93,2210.44,0.60619,0.47465,0.93328,0.91605,0.90944,0.93802,0.51841,1.40132,0.8143,1.315,0.0007856,0.0007856,0.0007856
94,2235.19,0.67544,0.52327,0.94985,0.91605,0.90944,0.93802,0.51841,1.40132,0.8143,1.315,0.0007724,0.0007724,0.0007724
95,2259.67,0.6774,0.52165,0.9575,0.93707,0.93083,0.93438,0.53278,1.41352,0.76424,1.33067,0.0007592,0.0007592,0.0007592
